date,open,high,low,close,volume
2025-12-01,488.435,489.8599,484.6475,486.74,23963993
2025-12-02,486.715,493.4999,486.32,490.0,19562722
2025-12-03,476.32,484.24,475.2,477.73,34615102
2025-12-04,479.76,481.322,476.49,480.84,22318155
2025-12-05,482.515,483.4,478.8801,483.16,22608710
2025-12-08,484.885,492.3,484.38,491.02,20668450
2025-12-09,489.1,492.12,488.5001,492.02,14092776
2025-12-10,484.03,484.25,475.08,478.56,35756229
2025-12-11,476.63,486.03,475.86,483.47,24669180
2025-12-12,479.82,482.45,476.34,478.53,21248102
2025-12-15,480.1,480.7205,472.52,474.82,23727694
2025-12-16,471.905,477.89,470.88,476.39,20705560
2025-12-17,476.905,480.0,475.0,476.12,24527176
2025-12-18,478.19,489.6,477.89,483.98,28573545
2025-12-19,487.36,487.85,482.49,485.92,70836105
2025-12-22,486.12,488.73,482.69,484.92,16963019
2025-12-23,484.98,487.83,484.74,486.85,14683582
2025-12-24,485.68,489.1625,484.83,488.02,5855880
2025-12-26,486.705,488.12,485.96,487.71,8842175
2025-12-29,484.855,488.35,484.18,487.1,10893408
2025-12-30,485.93,489.68,485.5,487.48,13944512
2025-12-31,487.84,488.14,483.3,483.62,15601554
2026-01-02,484.385,484.66,470.16,472.94,25571567
2026-01-05,474.055,476.07,469.5,472.85,25250260
2026-01-06,473.8,478.7367,469.75,478.51,23037665
2026-01-07,479.755,489.7,477.95,483.47,25564196
2026-01-08,481.24,482.66,475.86,478.11,18162616
2026-01-09,474.06,479.82,472.2001,479.28,18491036
2026-01-12,476.67,480.99,475.6803,477.18,23519895
2026-01-13,474.675,475.7799,465.95,470.67,28545800
2026-01-14,466.46,468.2,457.17,459.38,28184302
2026-01-15,464.12,464.25,455.9,456.66,23225839
2026-01-16,457.83,463.19,456.48,459.86,34246650
2026-01-20,451.215,456.8,449.28,454.52,25973898
2026-01-21,452.595,452.69,438.68,444.11,37980510
2026-01-22,447.62,452.84,444.7,451.14,25349378
2026-01-23,451.87,471.1,450.53,465.95,38000159
2026-01-26,465.305,474.25,462.0,470.28,29291235
2026-01-27,473.7,482.87,473.16,480.58,29088664
2026-01-28,483.21,483.74,478.0,481.63,36875403
2026-01-29,439.99,442.5,421.02,433.5,128855323
2026-01-30,439.17,439.6,426.45,430.29,58566819
2026-02-02,430.235,430.736,422.25,423.37,42219858
2026-02-03,422.01,422.05,408.56,411.21,60076532
2026-02-04,411.0,419.8,409.24,414.19,45012374
2026-02-05,407.44,408.3,392.32,393.67,66289247
2026-02-06,399.165,401.79,392.92,401.14,53515311
2026-02-09,404.85,414.89,400.87,413.6,45480526
2026-02-10,419.62,423.68,412.7,413.27,44857850
2026-02-11,416.175,416.46,401.01,404.37,42491012
2026-02-12,405.0,406.2,398.01,401.84,40802362
2026-02-13,404.45,405.54,398.05,401.32,34091553
2026-02-17,399.22,400.52,394.525,396.86,32078794
2026-02-18,398.13,402.56,396.32,399.6,23223417
2026-02-19,400.69,404.43,396.67,398.46,28234001
2026-02-20,396.11,400.1159,395.16,397.23,34015249
2026-02-23,395.0,395.36,383.1,384.47,43238273
2026-02-24,384.14,389.36,381.71,389.0,33884653
2026-02-25,390.525,401.47,390.16,400.6,43625483
2026-02-26,404.71,407.49,398.74,401.72,34405869
2026-02-27,390.88,396.82,389.88,392.74,51367196
2026-03-02,392.855,401.19,390.63,398.55,35474907
2026-03-03,393.14,406.7,392.67,403.93,38199209
2026-03-04,401.265,411.0326,400.31,405.2,35807990
2026-03-05,404.42,411.61,404.4,410.68,39001315
2026-03-06,409.2,413.05,408.5101,408.96,31123859
2026-03-09,404.915,410.21,403.5,409.41,30131854
2026-03-10,410.03,410.2,402.93,405.76,31706375
2026-03-11,405.57,409.01,401.59,404.88,25512139
2026-03-12,404.63,406.12,401.71,401.86,27263886
2026-03-13,401.0,404.8,394.25,395.55,26848000
2026-03-16,398.07,400.63,394.79,399.95,27733721
2026-03-17,400.27,404.4,397.745,399.41,26228279
2026-03-18,397.125,398.0,391.0,391.79,25908484
2026-03-19,390.1,392.49,387.06,389.02,25138772
2026-03-20,386.79,387.0,380.12,381.87,50853154
2026-03-23,383.9,387.21,381.68,383.0,29680059
2026-03-24,382.36,382.47,371.85,372.74,42733625
2026-03-25,376.92,377.06,369.63,371.04,31181163
2026-03-26,370.815,374.7199,365.19,365.97,36836574
2026-03-27,361.9,362.45,356.51,356.77,37883400
2026-03-30,361.895,365.36,356.28,358.96,44797002
2026-03-31,364.55,372.9,363.07,370.17,45244365
2026-04-01,373.49,373.99,368.2,369.37,29417206
2026-04-02,367.205,373.64,364.15,373.46,24099067
2026-04-06,373.49,373.73,369.5014,372.88,16146572
2026-04-07,370.34,372.45,366.56,372.29,21443349
2026-04-08,384.98,385.0,371.41,374.33,33064818
2026-04-09,372.5,373.5,367.05,373.07,30435297
2026-04-10,372.98,375.64,370.03,370.87,28111128
2026-04-13,373.605,384.54,371.02,384.37,35745781
2026-04-14,387.915,394.69,386.52,393.11,37504486
2026-04-15,398.0,414.3699,396.73,411.22,45063389
2026-04-16,419.86,420.82,412.14,420.26,41642361
2026-04-17,424.82,431.58,420.69,422.79,48568190
2026-04-20,421.145,423.33,416.3,418.07,27582237
2026-04-21,420.24,427.18,417.2,424.16,32048495
2026-04-22,426.185,433.7,423.67,432.92,29378173
2026-04-23,419.885,423.66,411.4101,415.75,38307959
2026-04-24,416.97,424.95,415.8,424.62,27457404
2026-04-27,422.375,427.11,417.0701,424.82,30732518
