date,open,high,low,close,volume
2025-12-01,678.81,682.99,678.74,680.27,61201193
2025-12-02,681.92,683.82,679.3275,681.53,62953844
2025-12-03,680.57,684.91,679.69,683.89,57238481
2025-12-04,685.3,685.37,681.34,684.39,61970336
2025-12-05,685.47,688.39,684.58,685.69,79241045
2025-12-08,686.59,686.64,681.57,683.63,53033654
2025-12-09,683.15,685.385,682.59,683.04,56313923
2025-12-10,682.56,688.97,681.31,687.57,85671334
2025-12-11,685.14,689.25,682.165,689.17,86173678
2025-12-12,688.17,688.88,679.1744,681.76,113160347
2025-12-15,685.74,685.76,679.25,680.73,90810952
2025-12-16,679.23,681.08,674.98,678.87,122030631
2025-12-17,679.89,680.435,671.195,671.4,110625198
2025-12-18,677.6,680.74,674.9,676.47,108650128
2025-12-19,676.59,681.09,676.47,680.59,103599543
2025-12-22,683.94,685.36,680.5868,684.83,69556733
2025-12-23,683.92,688.2,683.87,687.96,64839951
2025-12-24,687.95,690.83,687.8,690.38,39445560
2025-12-26,690.64,691.66,689.27,690.31,41613347
2025-12-29,687.54,689.2,686.07,687.85,62559503
2025-12-30,687.445,688.555,686.58,687.01,47160671
2025-12-31,687.14,687.36,681.71,681.92,74144801
2026-01-02,685.71,686.87,679.82,683.17,89377203
2026-01-05,686.54,689.43,686.375,687.72,71927191
2026-01-06,687.93,692.315,687.78,691.81,69273827
2026-01-07,692.19,693.96,689.32,689.58,75588337
2026-01-08,688.82,690.615,687.49,689.51,64019200
2026-01-09,690.63,695.31,689.18,694.07,80125467
2026-01-12,690.68,696.09,690.63,695.16,63976002
2026-01-13,695.49,696.09,691.35,693.77,78309726
2026-01-14,691.0,691.72,686.04,690.36,94676684
2026-01-15,694.57,695.45,691.25,692.24,77861974
2026-01-16,693.66,694.25,690.1,691.66,79289200
2026-01-20,681.49,684.77,676.57,677.58,107178877
2026-01-21,679.65,688.735,678.13,685.4,127844467
2026-01-22,689.85,691.13,686.92,688.98,77112243
2026-01-23,688.15,690.96,687.16,689.23,63059578
2026-01-26,690.49,694.13,689.92,692.73,60473813
2026-01-27,694.18,696.53,693.57,695.49,54124395
2026-01-28,697.05,697.84,693.94,695.42,61172165
2026-01-29,696.39,697.06,684.83,694.04,97486198
2026-01-30,691.79,694.21,687.12,691.97,101835131
2026-02-02,689.58,696.93,689.42,695.41,77975410
2026-02-03,696.21,696.96,684.03,689.53,105889540
2026-02-04,690.35,691.45,681.76,686.19,105204600
2026-02-05,680.94,683.69,675.79,677.62,113610812
2026-02-06,681.46,692.31,680.85,690.62,89127566
2026-02-09,689.42,695.87,688.34,693.95,73885192
2026-02-10,694.95,696.54,691.66,692.12,65185725
2026-02-11,696.39,697.14,689.18,691.96,76353872
2026-02-12,694.24,695.35,680.37,681.27,118828963
2026-02-13,681.69,686.28,677.52,681.75,96267487
2026-02-17,680.14,684.94,675.78,682.85,81354660
2026-02-18,684.02,689.15,682.83,686.29,73570341
2026-02-19,683.84,686.18,681.5475,684.48,58649363
2026-02-20,682.32,690.06,681.73,689.43,100033986
2026-02-23,687.83,690.0,680.371,682.39,90558087
2026-02-24,681.9,688.35,680.0,687.35,73798727
2026-02-25,690.18,693.68,690.1,693.15,56369479
2026-02-26,693.28,693.3,684.35,689.3,71670990
2026-02-27,683.09,686.86,681.64,685.99,83308868
2026-03-02,678.7,688.62,678.02,686.38,87477198
2026-03-03,675.06,682.61,669.66,680.33,105003113
2026-03-04,681.63,687.09,679.62,685.13,79182244
2026-03-05,682.08,685.53,675.61,681.31,106606464
2026-03-06,673.41,676.11,669.76,672.38,100686951
2026-03-09,666.39,679.92,662.39,678.27,102667711
2026-03-10,677.72,683.36,674.76,677.18,81505315
2026-03-11,677.58,680.08,673.34,676.33,68441672
2026-03-12,671.16,671.65,665.87,666.06,108882246
2026-03-13,669.27,672.335,661.36,662.29,97200242
2026-03-16,668.38,672.07,667.12,669.03,82023130
2026-03-17,672.39,674.44,669.7,670.79,87128044
2026-03-18,668.36,669.72,661.19,661.43,82062576
2026-03-19,656.97,662.98,655.17,659.8,111272539
2026-03-20,656.51,656.69,644.72,648.57,163617522
2026-03-23,658.07,662.615,653.94,655.38,134802732
2026-03-24,651.32,657.03,649.88,653.18,96457478
2026-03-25,658.67,660.89,654.24,656.82,90653787
2026-03-26,652.06,654.85,644.82,645.09,96494375
2026-03-27,642.5,642.66,633.105,634.09,103649368
2026-03-30,640.11,640.37,629.28,631.97,99275851
2026-03-31,638.94,651.54,637.98,650.34,152534102
2026-04-01,653.9,658.52,653.0,655.24,97841472
2026-04-02,646.42,658.2,645.11,655.83,68358713
2026-04-06,655.86,659.72,655.52,658.93,39105758
2026-04-07,656.65,659.61,651.06,659.22,69980362
2026-04-08,676.39,677.08,671.46,676.01,93606114
2026-04-09,674.84,681.16,673.77,679.91,57134445
2026-04-10,681.32,682.03,678.45,679.46,42253456
2026-04-13,677.41,686.3,676.58,686.1,54185819
2026-04-14,687.69,694.58,687.66,694.46,63480529
2026-04-15,695.26,700.28,694.2,699.94,58240384
2026-04-16,701.06,702.78,698.53,701.66,49972363
2026-04-17,706.14,712.39,705.76,710.14,70661926
2026-04-20,708.78,709.91,706.14,708.72,43546812
2026-04-21,710.28,711.275,702.64,704.08,58941384
2026-04-22,709.15,711.45,708.22,711.21,42518498
2026-04-23,709.5,712.3598,702.2803,708.45,56173990
2026-04-24,710.75,714.47,709.01,713.94,45181957
